policy,objective,overlap_threshold,delta_rel,runtime_s,joint_stages,joint_blocks,joint_stage_depth,joint_range_entries,joint_ternary_entries,joint_codeword_length,joint_register_depth,joint_register_count,joint_register_sram_bits,joint_range_depth,joint_ternary_depth,joint_range_tables,joint_ternary_tables,counterfactual_disjoint_stages,counterfactual_disjoint_blocks,counterfactual_disjoint_stage_depth,counterfactual_disjoint_range_entries,counterfactual_disjoint_ternary_entries,counterfactual_disjoint_codeword_length,counterfactual_disjoint_register_depth,counterfactual_disjoint_register_count,counterfactual_disjoint_register_sram_bits,counterfactual_disjoint_range_depth,counterfactual_disjoint_ternary_depth,counterfactual_disjoint_range_tables,counterfactual_disjoint_ternary_tables,blocks,stages,codeword_length,acc_app,f1_app,acc_ddos,f1_ddos,source_arm,M,split,k,align_attempted,align_accepted,align_intervals_before,align_codeword_before,align_codeword_floor,align_rolled_back,align_key_bytes_before,align_key_bytes_floor,align_ternary_stages_before,align_stage_target,align_bits_to_reach,align_intervals_after,align_codeword_after,align_key_bytes_after,align_ternary_stages_after,align_spent_budget
aligned,stages,0.5,0.2,0.0363569259643554,7,33,9,677,305,245,4,12,786432,5,9,9,4,5,35,7,824,305,210,4,12,786432,5,7,18,4,33,7,245,0.7761998041136141,0.7781695201252631,0.9753333333333334,0.975329375068622,joint-d020,150,10,9,18.0,18.0,279.0,270.0,212.0,False,37.0,30.0,4.0,32.0,19.0,254.0,245.0,34.0,4.0,True
aligned,stages,0.5,0.2,0.063117504119873,9,73,11,1103,554,409,4,16,1048576,5,11,13,6,9,62,11,1385,554,283,4,16,1048576,6,11,26,6,73,9,409,0.7845249755142018,0.7859803287655655,0.9836666666666668,0.9836665196653436,joint-d020,150,10,13,34.0,34.0,467.0,454.0,304.0,False,65.0,44.0,6.0,32.0,,422.0,409.0,56.0,6.0,True
aligned,stages,0.5,0.2,0.0349783897399902,5,37,7,656,249,196,4,20,1310720,5,7,17,4,7,47,9,801,249,167,4,20,1310720,7,9,33,4,37,5,196,0.7340842311459354,0.735038752339847,0.983,0.9829995749893748,joint-d020,150,10,17,15.0,15.0,233.0,216.0,170.0,False,35.0,31.0,4.0,32.0,5.0,213.0,196.0,32.0,2.0,True
aligned,stages,0.5,0.2,0.0547630786895751,7,56,10,562,529,366,3,2,131072,4,10,2,6,4,31,7,712,529,286,3,2,131072,4,7,4,6,56,7,366,0.7331047992164544,0.7342942789802482,0.9526666666666668,0.9526513256961924,joint-d020,250,10,2,27.0,27.0,402.0,400.0,286.0,False,51.0,37.0,6.0,32.0,,368.0,366.0,46.0,6.0,True
aligned,stages,0.5,0.2,0.045363426208496,8,53,10,599,467,321,3,5,327680,4,10,5,6,5,36,7,775,467,226,3,5,327680,4,7,10,6,53,8,321,0.7806072477962782,0.781587157714206,0.9673333333333334,0.967333202666144,joint-d020,250,10,5,33.0,33.0,368.0,363.0,226.0,False,48.0,30.0,6.0,32.0,107.0,326.0,321.0,42.0,6.0,True
aligned,stages,0.5,0.2,0.061169147491455,7,33,9,669,338,236,4,11,720896,5,9,9,4,5,34,7,891,338,158,4,11,720896,5,7,18,4,33,7,236,0.747796278158668,0.7489516723541754,0.9783333333333334,0.9783303838578028,joint-d020,250,10,9,42.0,42.0,296.0,287.0,185.0,False,39.0,27.0,4.0,32.0,35.0,245.0,236.0,33.0,4.0,True
aligned,stages,0.5,0.2,0.0680522918701171,5,25,7,407,169,128,4,16,1048576,5,7,13,4,6,37,8,548,169,100,4,16,1048576,6,8,26,4,25,5,128,0.7162095984329089,0.7113965508181033,0.978,0.9779988168252602,joint-d020,250,10,13,32.0,15.0,160.0,147.0,102.0,False,26.0,21.0,2.0,16.0,,141.0,128.0,22.0,2.0,True
aligned,stages,0.5,0.2,0.09421968460083,5,33,7,444,170,134,4,20,1310720,5,7,17,4,7,44,9,563,170,111,4,20,1310720,7,9,33,4,33,5,134,0.7218413320274241,0.7216055192554608,0.9756666666666668,0.9756578791610436,joint-d020,250,10,17,20.0,13.0,167.0,150.0,115.0,True,27.0,22.0,2.0,16.0,,151.0,134.0,25.0,2.0,False
aligned,both,0.5,0.2,0.0450549125671386,2,8,5,191,113,94,3,2,131072,4,5,2,2,2,7,5,240,113,68,3,2,131072,4,5,4,2,8,2,94,0.7365328109696376,0.7373854133040794,0.949,0.9489913795431428,joint-d020,25,10,2,14.0,4.0,102.0,100.0,68.0,True,14.0,9.0,1.0,,,96.0,94.0,12.0,1.0,False
aligned,both,0.5,0.2,0.057037353515625,4,25,7,416,219,176,4,6,393216,5,7,5,4,4,23,7,476,219,169,4,6,393216,5,7,10,4,25,4,176,0.7566111655239961,0.7578490943232825,0.9613333333333334,0.961323432131959,joint-d020,25,10,5,13.0,7.0,191.0,186.0,169.0,True,25.0,23.0,2.0,16.0,,181.0,176.0,24.0,2.0,False
aligned,both,0.5,0.2,0.0514609813690185,4,21,7,435,163,128,4,11,720896,5,7,9,4,4,29,7,551,163,108,4,11,720896,6,7,18,4,21,4,128,0.7076395690499511,0.7055825464086961,0.9756666666666668,0.975665474274906,joint-d020,25,10,9,17.0,12.0,156.0,147.0,112.0,False,23.0,18.0,2.0,16.0,,137.0,128.0,20.0,2.0,True
aligned,both,0.5,0.2,0.0299184322357177,4,17,6,304,106,84,4,16,1048576,5,6,13,2,5,26,7,393,106,60,4,16,1048576,6,7,23,2,17,4,84,0.7375122428991185,0.7362788324492766,0.971,0.9709976508097156,joint-d020,25,10,13,20.0,12.0,113.0,100.0,67.0,False,19.0,14.0,1.0,,,97.0,84.0,17.0,1.0,True
aligned,both,0.5,0.2,0.0401337146759033,4,21,6,245,69,59,4,20,1310720,5,6,17,2,5,28,7,294,69,40,4,20,1310720,6,7,26,2,21,4,59,0.7252693437806073,0.72581322745181,0.9496666666666668,0.949635188659579,joint-d020,25,10,17,12.0,6.0,82.0,65.0,50.0,False,17.0,17.0,1.0,,,76.0,59.0,17.0,1.0,False
aligned,both,0.5,0.2,0.0271258354187011,2,10,5,317,187,155,3,2,131072,4,5,2,2,2,10,5,386,187,132,3,2,131072,4,5,4,2,10,2,155,0.7399608227228207,0.7405421436548434,0.947,0.9469869882507828,joint-d020,50,10,2,16.0,10.0,172.0,170.0,132.0,False,22.0,18.0,1.0,,,157.0,155.0,20.0,1.0,False
aligned,both,0.5,0.2,0.0323286056518554,4,23,6,259,171,114,3,5,327680,4,6,5,6,3,22,5,352,171,71,3,5,327680,4,5,10,6,23,4,114,0.72820763956905,0.7305041120488633,0.9646666666666668,0.9646664154056208,joint-d020,50,10,5,18.0,18.0,140.0,135.0,77.0,False,19.0,11.0,2.0,10.0,,119.0,114.0,16.0,2.0,True
aligned,both,0.5,0.2,0.0416054725646972,5,29,7,519,253,200,4,11,720896,5,7,9,4,5,31,7,638,253,171,4,11,720896,5,7,17,4,29,5,200,0.7607737512242899,0.7634812775055065,0.9763333333333334,0.976331416178044,joint-d020,50,10,9,23.0,15.0,228.0,219.0,177.0,False,30.0,25.0,2.0,16.0,,209.0,200.0,30.0,2.0,True
aligned,both,0.5,0.2,0.0633182525634765,7,37,9,726,325,234,4,16,1048576,5,9,13,4,6,44,8,966,325,182,4,16,1048576,6,8,26,4,37,7,234,0.7548971596474046,0.754092577764369,0.9796666666666668,0.9796666463333132,joint-d020,50,10,13,35.0,35.0,291.0,278.0,191.0,False,42.0,29.0,4.0,32.0,32.0,247.0,234.0,36.0,4.0,True
aligned,both,0.5,0.2,0.0634047985076904,7,41,9,803,310,243,4,20,1310720,5,9,17,4,7,50,9,1035,310,150,4,20,1310720,7,9,34,4,41,7,243,0.7463271302644466,0.7453243404307835,0.9783333333333334,0.9783288811223548,joint-d020,50,10,17,31.0,31.0,296.0,279.0,181.0,False,43.0,30.0,4.0,32.0,53.0,260.0,243.0,40.0,4.0,True
aligned,both,0.5,0.2,0.1102943420410156,9,82,12,605,616,410,3,2,131072,4,12,2,8,5,45,8,713,616,300,3,2,131072,4,8,4,8,82,9,410,0.7487757100881489,0.7499834313931915,0.9523333333333334,0.952319553684348,joint-d020,100,10,2,15.0,15.0,431.0,429.0,300.0,True,55.0,38.0,8.0,32.0,,412.0,410.0,52.0,8.0,False
aligned,both,0.5,0.2,0.1063678264617919,8,53,10,631,428,310,3,5,327680,4,10,5,6,5,31,7,778,428,232,3,5,327680,4,7,10,6,53,8,310,0.7833006856023507,0.7842267472528579,0.9693333333333334,0.9693329925888066,joint-d020,100,10,5,26.0,23.0,347.0,342.0,232.0,True,45.0,31.0,6.0,32.0,86.0,315.0,310.0,41.0,6.0,False
aligned,both,0.5,0.2,0.138134479522705,9,57,11,851,427,324,4,12,786432,5,11,9,6,6,48,8,1038,427,268,4,12,786432,5,8,18,6,57,9,324,0.7700783545543585,0.7717313764135457,0.9763333333333334,0.976330469320121,joint-d020,100,10,9,29.0,29.0,367.0,358.0,270.0,False,49.0,37.0,6.0,32.0,,333.0,324.0,45.0,6.0,True
aligned,both,0.5,0.2,0.0633816719055175,5,29,7,530,223,166,4,16,1048576,5,7,13,4,6,37,8,712,223,114,4,16,1048576,6,8,25,4,29,5,166,0.7179236043095005,0.7188011569269653,0.9746666666666668,0.974659627674354,joint-d020,100,10,13,27.0,27.0,211.0,198.0,125.0,False,32.0,21.0,2.0,16.0,,179.0,166.0,26.0,2.0,True
aligned,both,0.5,0.2,0.0622134208679199,7,41,9,804,292,251,4,20,1310720,5,9,17,4,8,51,10,907,292,226,4,20,1310720,7,10,32,4,41,7,251,0.7144955925563173,0.715659602329393,0.98,0.9799977241855072,joint-d020,100,10,17,12.0,8.0,279.0,262.0,230.0,False,40.0,38.0,4.0,32.0,,268.0,251.0,40.0,4.0,True
aligned,both,0.5,0.2,0.0787742137908935,3,18,6,283,217,151,3,2,131072,4,6,2,4,2,16,5,385,217,95,3,2,131072,4,5,4,4,18,3,151,0.738001958863859,0.7383003120662838,0.9526666666666668,0.9526513256961924,joint-d020,150,10,2,19.0,19.0,179.0,177.0,95.0,False,23.0,13.0,2.0,16.0,49.0,153.0,151.0,20.0,2.0,True
aligned,both,0.5,0.2,0.1139278411865234,8,65,10,755,539,433,3,5,327680,4,10,5,6,6,46,8,904,539,400,3,5,327680,4,8,10,6,65,8,433,0.795543584720862,0.7971434934582019,0.9593333333333334,0.959295052591682,joint-d020,150,10,5,20.0,20.0,465.0,460.0,400.0,False,60.0,53.0,6.0,32.0,,438.0,433.0,56.0,6.0,True
aligned,both,0.5,0.2,0.0772817134857177,7,33,9,677,305,245,4,12,786432,5,9,9,4,5,35,7,824,305,210,4,12,786432,5,7,18,4,33,7,245,0.7761998041136141,0.7781695201252631,0.9753333333333334,0.975329375068622,joint-d020,150,10,9,18.0,18.0,279.0,270.0,212.0,False,37.0,30.0,4.0,32.0,19.0,254.0,245.0,34.0,4.0,True
aligned,both,0.5,0.2,0.1749675273895263,9,73,11,1103,554,409,4,16,1048576,5,11,13,6,9,62,11,1385,554,283,4,16,1048576,6,11,26,6,73,9,409,0.7845249755142018,0.7859803287655655,0.9836666666666668,0.9836665196653436,joint-d020,150,10,13,34.0,34.0,467.0,454.0,304.0,False,65.0,44.0,6.0,32.0,,422.0,409.0,56.0,6.0,True
aligned,both,0.5,0.2,0.0802781581878662,5,37,7,656,249,196,4,20,1310720,5,7,17,4,7,47,9,801,249,167,4,20,1310720,7,9,33,4,37,5,196,0.7340842311459354,0.735038752339847,0.983,0.9829995749893748,joint-d020,150,10,17,15.0,15.0,233.0,216.0,170.0,False,35.0,31.0,4.0,32.0,5.0,213.0,196.0,32.0,2.0,True
aligned,both,0.5,0.2,0.1598963737487793,7,56,10,562,529,366,3,2,131072,4,10,2,6,4,31,7,712,529,286,3,2,131072,4,7,4,6,56,7,366,0.7331047992164544,0.7342942789802482,0.9526666666666668,0.9526513256961924,joint-d020,250,10,2,27.0,27.0,402.0,400.0,286.0,False,51.0,37.0,6.0,32.0,,368.0,366.0,46.0,6.0,True
aligned,both,0.5,0.2,0.0751373767852783,8,53,10,599,467,321,3,5,327680,4,10,5,6,5,36,7,775,467,226,3,5,327680,4,7,10,6,53,8,321,0.7806072477962782,0.781587157714206,0.9673333333333334,0.967333202666144,joint-d020,250,10,5,33.0,33.0,368.0,363.0,226.0,False,48.0,30.0,6.0,32.0,107.0,326.0,321.0,42.0,6.0,True
aligned,both,0.5,0.2,0.095738410949707,7,33,9,669,338,236,4,11,720896,5,9,9,4,5,34,7,891,338,158,4,11,720896,5,7,18,4,33,7,236,0.747796278158668,0.7489516723541754,0.9783333333333334,0.9783303838578028,joint-d020,250,10,9,42.0,42.0,296.0,287.0,185.0,False,39.0,27.0,4.0,32.0,35.0,245.0,236.0,33.0,4.0,True
aligned,both,0.5,0.2,0.0641345977783203,5,25,7,404,169,127,4,16,1048576,5,7,13,4,6,37,8,552,169,100,4,16,1048576,6,8,26,4,25,5,127,0.7154750244857982,0.7107535100952159,0.978,0.9779988168252602,joint-d020,250,10,13,29.0,15.0,160.0,147.0,102.0,False,26.0,21.0,2.0,16.0,,140.0,127.0,23.0,2.0,True
aligned,both,0.5,0.2,0.1017255783081054,5,33,7,444,170,134,4,20,1310720,5,7,17,4,7,44,9,563,170,111,4,20,1310720,7,9,33,4,33,5,134,0.7218413320274241,0.7216055192554608,0.9756666666666668,0.9756578791610436,joint-d020,250,10,17,20.0,13.0,167.0,150.0,115.0,True,27.0,22.0,2.0,16.0,,151.0,134.0,25.0,2.0,False
